year,movies,locations
1915,1,2
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,1,1
1924,1,3
1925,0,0
1926,0,0
1927,1,1
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,2,3
1937,0,0
1938,1,3
1939,0,0
1940,0,0
1941,2,4
1942,1,1
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,3,7
1948,1,3
1949,0,0
1950,3,14
1951,1,4
1952,1,4
1953,0,0
1954,1,2
1955,1,3
1956,0,0
1957,1,3
1958,2,22
1959,0,0
1960,1,1
1961,4,6
1962,2,11
1963,1,1
1964,1,1
1965,0,0
1966,0,0
1967,3,7
1968,3,32
1969,1,3
1970,0,0
1971,2,18
1972,3,14
1973,2,15
1974,4,34
1975,0,0
1976,2,13
1977,1,3
1978,5,44
1979,2,25
1980,5,8
1981,1,3
1982,3,4
1983,2,15
1984,4,8
1985,4,16
1986,3,13
1987,2,7
1988,4,47
1989,3,3
1990,2,4
1991,4,11
1992,4,21
1993,6,44
1994,6,35
1995,4,30
1996,6,14
1997,7,26
1998,8,16
1999,7,31
2000,9,27
2001,7,33
2002,4,11
2003,5,10
2004,5,14
2005,1,1
2006,2,5
2007,1,1
2008,1,12
2009,0,0
2010,1,2
2011,1,8
2012,4,7
2013,5,35
2014,4,36
2015,12,166
2016,1,17
